,clusteringCoefficient_networkit_innov,PageRank_networkit_innov,betweennessInComm_toScale_innov,lengthMean_rw_innov,nb_users_innov,clusteringCoefficient_networkit_prop,PageRank_networkit_prop,betweennessInComm_toScale_prop,lengthMean_rw_prop,nb_users_prop,clusteringCoefficient_networkit_fix,PageRank_networkit_fix,betweennessInComm_toScale_fix,lengthMean_rw_fix,nb_users_fix,clusteringCoefficient_networkit,PageRank_networkit,betweennessInComm_toScale,lengthMean_rw,nb_users,type
mooort_inProgress,0.0784313725490196,1.3787752981546302e-07,0.3188405797101449,7.7011,275.0,0.074220597329841,1.992510135213752e-07,0.6092258748674445,7.24455,2254.0,0.07598124250492125,2.351616263160204e-07,0.6666666666666666,6.02755,3246.0,,,,,,inProgress
mooort_original,0.07570414519567059,1.4767447904776566e-07,0.2753623188405797,7.8203499999999995,394.0,0.0714168714168714,1.8042637672386453e-07,0.5652173913043479,7.5374,1957.0,0.06588352219290615,2.7367606887707067e-07,0.7681159420289856,6.5792,2026.0,,,,,,original
désole_inProgress,0.0953394123606889,1.6489208160922677e-07,0.463768115942029,6.8854,2417.0,0.09255570507583574,2.0431068438237638e-07,0.6956521739130433,6.64545,3860.0,0.09170569306266746,2.756647227791654e-07,0.9545454545454546,6.6309000000000005,4918.0,,,,,,inProgress
désole_original,0.09501342246125549,1.4954947049873035e-07,0.5630965005302229,6.0481,4215.0,0.09968799154225,1.604920688824877e-07,0.6363636363636365,5.5444,1841.0,0.10041887418556736,2.2088476029143737e-07,0.8636363636363635,5.289350000000001,965.0,,,,,,original
watching_inProgress,0.13041709881439,4.339565757955277e-07,0.5,10.791,27.0,0.10318727206892431,2.886795542415307e-07,0.6818181818181819,7.708,798.0,0.08637222605315664,3.643766028344149e-07,1.0454545454545454,7.1761,1335.0,,,,,,inProgress
watching_original,0.10527769097430201,1.6911493629730382e-07,0.31071049840933196,6.70115,145.0,0.10347310521774665,1.869519386116e-07,0.4545454545454545,6.900399999999999,2484.0,0.0906795707973911,3.15373156275872e-07,0.7407407407407406,6.6457,2308.0,,,,,,original
flem_inProgress,0.0666144200626959,1.753254635015332e-07,0.391304347826087,9.151,661.0,0.06354613865733486,2.2991644711900655e-07,0.6376811594202898,8.1508,1733.0,0.0656634746922024,2.543569577579921e-07,0.6086956521739132,6.6525,654.0,,,,,,inProgress
flem_original,0.0738292011019283,1.4567572132851398e-07,0.3333333333333333,8.2751,2438.0,0.0701754385964912,1.7685061078194528e-07,0.5362318840579711,7.7976,2859.0,0.0688674390765747,2.413647911236574e-07,0.6521739130434783,6.733549999999999,869.0,,,,,,original
foutaises_inProgress,0.11590912720551184,1.5146908921254878e-07,0.24637681159420288,7.7684,160.0,0.0986828774062816,2.015286102134128e-07,0.5,8.3042,1039.0,0.1068647509695544,2.555204049683512e-07,0.7272727272727273,8.5741,1568.0,,,,,,inProgress
foutaises_original,0.09731793842034805,1.6447476576114493e-07,0.2753623188405797,8.06555,507.0,0.0825337277252723,2.1080217979729226e-07,0.5797101449275364,8.5187,1931.0,0.0852304196791692,2.9960944202441044e-07,0.7259552042160737,8.04735,2513.0,,,,,,original
michto_inProgress,0.06675061050061046,1.7464600285655073e-07,0.3768115942028985,7.9038,174.0,0.0641066328149793,2.1772935115148174e-07,0.5362318840579711,7.6551,1442.0,0.06213568247203165,2.6393495023198874e-07,0.6521739130434783,6.55545,2175.0,,,,,,inProgress
