form,sigma,sigma_err,center,center_err,amplitude,amplitude_er,redchi,chisqr
word,29.147700076292782,8.079093527190057,367.83331040898787,595530.7221533668,1463.7838610841843,29816285.525886863,1.521399883503425e-05,0.0008671979335969522
geek,16.219101376075294,5.440724075830795,50.21746827851001,18.72703367735084,0.06119114606283867,0.034487115840543675,6.426996286124891e-05,0.003663387883091188
filtres,6.004386829501059,1.9434643447299773,12.143080777666585,2.0258286801564984,0.02093162217633658,0.0012178774289569893,3.6585291659791014e-05,0.002085361624608088
rédaction,21.59658871056998,4.763805965837723,67.55285689960338,27.37467844598799,0.09233474914592615,0.06902073054594088,1.6998990463242743e-05,0.0009689424564048363
snt,13.30284166233791,2.494919889366696,45.1425726226734,6.8440920369015545,0.05385733653671729,0.01230328196778982,2.5801196742609013e-05,0.0014706682143287137
compatible,18.57580422649097,4.576947237958296,58.75390243165084,20.90591526581213,0.0771060669257186,0.04711261374911954,2.844437846447722e-05,0.0016213295724752015
autoriser,25.063805846520847,10.32070618926658,84.85523202717353,89.10025865553555,0.13882950246095643,0.33027995009165356,4.4646364956497856e-05,0.0025448428025203777
tarte,52.214761704252396,72.78504640615621,137.54991732767664,732.1263235561652,0.1394910480779968,1.3712178389389145,4.8427870608078416e-05,0.0027603886246604695
profile,24.293054374179928,8.243783161546043,316.67095006085646,638114.1081917775,1651.8276327611995,43203200.17768481,3.4569078199437784e-05,0.0019704374573679536
notion,52.28575194957403,101.76819968498788,562.2944197129747,2371820.449738202,404.6565993791396,18257274.91555115,0.00011375831214134594,0.006484223792056719
morceau,6.1121564357677824,3.7498440472189105,23.685659288286523,4.459788784126352,0.025969608337094257,0.003982286030908536,0.00022256406033752444,0.012686151439238893
trouble,0.5480446787571618,0.25832725498853315,1.222762149041273,0.28663759305934333,0.017018625212491433,0.0003559433791257774,7.123396415964056e-06,0.0004060335957099512
huitième,108.41095220917303,891.4148396514988,936.3074937138941,3700678.6727380618,69.29782517792617,2347625.804012598,0.00013421500163509993,0.007650255093200696
mug,269.424519307912,4718.091909849482,1196.7242557564546,381421.4522100456,1.2635197829952587,1665.7394105170408,1.6355217193328916e-05,0.0009322473800197482
concentration,12.372643579096904,5.751773140299454,45.32067486960763,15.451847600227275,0.054418905658465626,0.029817954581401084,0.00016887585763937016,0.0096259238854441
marc,1.2627530323474154,1.0889850415126408,13.302625202612484,1.242915632191377,0.020404380057741187,0.0013973860766862082,8.11774872067819e-05,0.004627116770786569
habitent,26.240774403629004,12.509858254044682,351.66054127757235,1643364.8476465961,2660.5626031068214,165867074.6620614,5.8964385428206515e-05,0.003360969969407771
essonne,3.5978145358346527,2.943710545180279,8.269568174419987,3.1644263909257493,0.01905811647627883,0.0019673118585615368,0.00014598021730585458,0.008320872386433711
déchirer,22.16761674456975,4.065160196435003,299.6947331466658,411325.9383915329,2293.154445261025,42415621.55362989,1.2733755628532745e-05,0.0007258240708263665
house,56.77626575344718,164.09004218322417,553.3704564547241,1488109.7028192033,156.95169807492977,4085873.527442659,0.00018977722104353322,0.010817301599481393
music,0.057680385489349284,7398.011189619703,10.043597118433738,5827.299082038888,0.019464609261055737,0.0014771022248137263,0.00010482873265219115,0.005975237761174895
représentant,15.668378691326875,3.517652286826928,234.8892289967276,530548.6481337243,4134.429103595861,139489684.14204857,3.348453134586054e-05,0.0019086182867140509
éponge,11.316988580358649,8.259531915382345,7.178977960871371,5.915774813754674,0.020587482096265933,0.003011666464730466,9.153300366987679e-05,0.005217381209182977
reviennent,30.608859943453208,13.34859235588753,396.02709596674845,1459656.8016267687,2101.0271390057183,99841081.0817151,3.017081200100924e-05,0.0017197362840575266
dun,18.9701121139835,4.915296026460305,45.10579642113689,14.498296890481933,0.048537157539500095,0.01742275461133411,2.4883425248704796e-05,0.0014183552391761733
renvoyer,17.381310174227654,2.856086663035946,63.20913751545955,15.465553588521983,0.09829774110160178,0.05030436079875719,1.535324304559768e-05,0.0008751348535990677
macbook,28.946154644427665,15.528016165929106,355.1297897254778,792753.3015188131,1033.0836194534252,28164580.68351118,5.9217657114733265e-05,0.003375406455539796
réparer,14.321918969009733,3.3847371474474413,92.87057758549884,89.54039422349679,0.701400226856262,3.697272863329008,4.304102866008473e-05,0.00245333863362483
fichiers,16.32973915055696,15.292508349753474,227.52999134143798,935460.4886080135,1447.0177659499902,82283209.98103154,0.00041379999945091576,0.023586599968702198
taffe,21.841947599750704,5.704511122311886,136.59637956801947,422.70183295114066,1.6156454734338281,28.95681530672597,2.7696729408671254e-05,0.0015787135762942615
motivé,20.69897882821694,3.3280267519710884,97.86922404641946,57.17973575741384,0.34053431252443495,0.7407521555271512,1.1649899678841136e-05,0.0006640442816939448
bbq,11.128499373607088,,-608.6376937433527,,0.016489018087855297,,7.625568302085795e-05,0.004346573932188904
jurée,19.15263228473327,6.151199567043995,266.1227638526552,612995.414598225,2467.392302457118,78663958.15306877,5.3730415976115867e-05,0.0030626337106386043
tartes,85.57265719281598,161.33131719148406,531.5792529129714,55224.01350213009,5.700767256016473,3594.250831502857,1.772788299461863e-05,0.0010104893306932619
agneau,91.35236831784579,230.7089464968841,740.3074942001246,529578.9376467266,38.4137954453155,221080.4563059671,2.4563764282922457e-05,0.00140013456412658
deuil,1.8915603127352458,1.4205067717407485,6.5326222966769745,1.605597619440945,0.01845364543264354,0.0012577893244146523,7.278241440390053e-05,0.00414859762102233
pitbull,6.113573396051248,3.4268761459447963,3.710080205845739,2.935522586012316,0.018623029055870526,0.0011874889736804431,4.262238948570775e-05,0.002429476200685342
bleach,30.147195935724383,28.381375007168284,88.6862909595702,225.99955584597134,0.11980412535911086,0.5899070319972095,0.00013752313105684687,0.007838818470240271
matte,2.7890871810413542,0.8957052227617365,24.690725198966653,1.0343298348981518,0.02583757133557513,0.0012177613632448421,3.646824387226741e-05,0.002078689900719242
episodes,32.65887348008559,13.492516202199662,389.67557131422814,600462.6156048095,858.6618325438948,15728297.106564939,2.447121091242977e-05,0.0013948590220084968
pkoi,15.063861924054525,2.6064971487167,44.404694633124834,7.240099552043583,0.05141549077372791,0.011126368165383578,1.8390978198365437e-05,0.0010482857573068298
funérailles,77.75359686785178,242.7044821340971,751.4477177825732,2457672.0137330685,172.70639602316163,5429407.516346017,7.066639248824453e-05,0.0040279843718299384
miam,3.5215803751361303,0.826938568252417,16.929884696243718,0.9537791279443234,0.022640832473466727,0.00079468821138599,1.8731857036496063e-05,0.0010677158510802756
calcul,11.22240797105824,0.8707914939325566,38.538044010619764,1.7460904997919628,0.043711228352238014,0.0026373284732804972,4.992668852205372e-06,0.0002845821245757062
mix,84.80869120246852,543.5377991261274,805.4690522558127,4845077.790941489,148.74348087207431,8437024.133578217,0.00020579173574960968,0.011730128937727752
rentrant,58.573406034128304,137.98662356043423,616.8905843738268,2807078.372942516,351.4489768445325,16748655.441522412,0.00011328947794896947,0.0064575002430912595
fourmi,4.342197182986012,1.942371007841509,3.3666058951286444,1.7404171728157627,0.017910357871367664,0.0007803407491204853,2.331056422370687e-05,0.0013287021607512916
remarche,24.018262827933988,4.847675600426823,313.251399467154,369165.7481109501,1663.8653748941076,25499810.94469605,1.3381179277060761e-05,0.0007627272187924634
ride,27.7473252252172,8.474147692918685,377.33857145670436,1500020.7536170236,3579.675737772778,192468616.0477983,2.2097573215828612e-05,0.001259561673302231
sky,4.154917615897631,3.307845419879971,20.268995250993008,3.840922545166557,0.024058937145234147,0.003364952627559512,0.0002719674809567867,0.015502146414536842
high,0.49280693800163355,0.3264344283709104,4.462984385847258,0.39210373030275847,0.017843561247874805,0.0005470932855905222,1.5934396519732996e-05,0.0009082606016247807
murs,18.816021774924522,4.275030797721481,241.30443709861188,137963.78229486145,819.4277847669582,5986495.606469793,2.7699816609252394e-05,0.0015788895467273864
béton,17.057025133008615,3.8162020049066405,49.137949211913885,12.715032824961114,0.05805432184722099,0.020946388865272652,2.590654284550704e-05,0.0014766729421939013
affectif,18.569605577934045,2.0461080116112202,226.42975744539322,33812.54606104653,429.1245456207815,779203.7992612788,6.879009528975944e-06,0.0003921035431516288
jesus,30.89902795045819,17.973347685416936,380.58185264589133,1077976.4896944517,1167.3186954229511,40554335.87828078,5.6456867135840484e-05,0.0032180414267429075
nerveuse,36.12678005715572,14.027941669317446,70.04657465662603,64.53203339855528,0.06363136041966645,0.06361278261874619,1.0216304004908619e-05,0.0005823293282797913
vogue,5.419341489465591,2.139398600119015,5.4010966519041075,1.9122051421630608,0.01876145164233653,0.000911816372634872,2.679458811344131e-05,0.0015272915224661546
amours,2.972367282751096,0.6904740776292954,43.57816860657785,0.8412243819745747,0.04928026689546747,0.003117562071141044,5.378554162465709e-05,0.0030657758726054542
activement,19.029446932466765,4.6752570405298,281.69983944469726,1129684.627166658,5738.611035133939,338551689.3622928,2.930171900391226e-05,0.0016701979832229987
invitations,23.222118122664178,14.709988882463323,64.69220333474615,75.18174373435822,0.0796965433334613,0.14681862105885515,0.00011546426912756761,0.006581463340271354
impatience,15.327970116116145,2.7292939185783225,229.50321061497573,374504.87750003743,3903.288801152684,95090618.39728737,2.2300591921338984e-05,0.0012711337395163221
publie,25.74359528819919,7.7597124755067215,108.94730337298743,134.75657467820653,0.30811072636555104,1.2727888217627532,2.4609894904691927e-05,0.0014027640095674399
skyblog,67.26003231869309,123.17437249697866,729.351776537561,3747353.0278216125,523.3872667663472,29033749.122098684,4.1981189118001495e-05,0.0023929277797260853
arrives,18.400665073484703,2.58443826963604,82.939532824117,28.73361644173329,0.22156709818464349,0.2473847637875073,1.0908852538083677e-05,0.0006218045946707695
repose,8.924910952777966,3.3530321810657924,60.96171954940423,18.243829124917255,0.16399020311974874,0.19230281971080543,0.00016665929745453894,0.009499579954908719
lave,15.880561058554317,3.802389379158071,45.9790536229292,11.284524949281955,0.05266049346729742,0.017315505675810278,3.175143777601058e-05,0.0018098319532326031
jolies,32.58801865164153,19.1804087432284,331.3843223861394,145989.00946305416,149.34984987565383,665554.0851040917,5.1991087115538345e-05,0.0029634919655856856
robert,27.461492134383796,27.029250302113596,30.114336227735922,51.864322969643844,0.0332073618064417,0.028691303384299056,8.444616920995571e-05,0.004813431644967475
lent,10.524768192579657,1.5820573706648442,57.76799353107103,7.093707338220196,0.11223798363268497,0.04041227865540303,2.2949381680588333e-05,0.001308114755793535
inviter,27.838837439975684,5.90159981501832,341.9458436484881,285396.24335825443,991.9609906603353,10139041.52384384,1.0266758525603747e-05,0.0005852052359594136
lucas,26.91400497231186,9.54905077554991,319.093815067127,282037.97755316715,611.32283417303,6380875.7930712085,3.0957149805227354e-05,0.0017645575388979592
louise,33.45092761541865,16.163952076164914,396.8016950398776,694398.235584883,826.1661489192079,17082239.986410305,3.1600306679191295e-05,0.001801217480713904
relancer,30.77086966711208,14.663298522280664,406.23081384213725,2107034.16306421,2759.8915435918293,188293847.21010798,3.919218161589225e-05,0.002233954352105858
arrache,16.597106362473667,3.210691372391767,68.53291311071357,21.659118842696056,0.12998523041290783,0.10502077252355756,2.3349228067707856e-05,0.0013309059998593477
arranger,14.50922796019662,2.952564081982077,73.6275456580982,26.999903305494055,0.20213947617494682,0.2553280589547538,3.0691850048600196e-05,0.0017494354527702112
anne,20.81029240406071,6.424553250974275,29.65699424747489,11.694640672480459,0.032871187760195986,0.007986161952485417,1.8706724724206394e-05,0.0010662833092797645
